year,CTYNAME,month,type,amount
1985,OPEC,1,1,1733
1986,OPEC,1,1,2631
1987,OPEC,1,1,1344
1988,OPEC,1,1,1869
1989,OPEC,1,1,2241.4
1990,OPEC,1,1,3662.1
1991,OPEC,1,1,3239.1
1992,OPEC,1,1,2596
1993,OPEC,1,1,2733
1994,OPEC,1,1,2085.8
1995,OPEC,1,1,2720.4
1996,OPEC,1,1,3280
1997,OPEC,1,1,3877.1
1998,OPEC,1,1,3252.2
1999,OPEC,1,1,2542.5
2000,OPEC,1,1,4381.8
2001,OPEC,1,1,5793.1
2002,OPEC,1,1,3733.2
2003,OPEC,1,1,4827.229934
2004,OPEC,1,1,5949.285059
2005,OPEC,1,1,8149.278487
2006,OPEC,1,1,11492.36574
2007,OPEC,1,1,11588.60337
2008,OPEC,1,1,20302.1
2009,OPEC,1,1,7982.701834
2010,OPEC,1,1,10966.44522
2011,OPEC,1,1,14357.52669
2012,OPEC,1,1,15766.91878
2013,OPEC,1,1,14317.77425
1997,European Union,1,1,11644.9
1998,European Union,1,1,12883.4
1999,European Union,1,1,13700.7
2000,European Union,1,1,15771.3
2001,European Union,1,1,19413.6
2002,European Union,1,1,16444.7
2003,European Union,1,1,18656
2004,European Union,1,1,19117.095
2005,European Union,1,1,21997.6
2006,European Union,1,1,24878.4
2007,European Union,1,1,26094.34069
2008,European Union,1,1,27757.79818
2009,European Union,1,1,21187.93074
2010,European Union,1,1,21293.22372
2011,European Union,1,1,26134.26621
2012,European Union,1,1,29590.71084
2013,European Union,1,1,28883.82457
1989,World, Seasonally Adjusted,1,1,37513.2
1990,World, Seasonally Adjusted,1,1,41380.4
1991,World, Seasonally Adjusted,1,1,41282.2
1992,World, Seasonally Adjusted,1,1,41809.5
1993,World, Seasonally Adjusted,1,1,45495
1994,World, Seasonally Adjusted,1,1,50027
1995,World, Seasonally Adjusted,1,1,60492
1996,World, Seasonally Adjusted,1,1,63825
1997,World, Seasonally Adjusted,1,1,69846
1998,World, Seasonally Adjusted,1,1,74523
1999,World, Seasonally Adjusted,1,1,77781
2000,World, Seasonally Adjusted,1,1,93900
2001,World, Seasonally Adjusted,1,1,105470
2002,World, Seasonally Adjusted,1,1,89443
2003,World, Seasonally Adjusted,1,1,102284
2004,World, Seasonally Adjusted,1,1,110890
2005,World, Seasonally Adjusted,1,1,132065
2006,World, Seasonally Adjusted,1,1,152919
2007,World, Seasonally Adjusted,1,1,156000
2008,World, Seasonally Adjusted,1,1,175412
2009,World, Seasonally Adjusted,1,1,129116
2010,World, Seasonally Adjusted,1,1,146808
2011,World, Seasonally Adjusted,1,1,178767
2012,World, Seasonally Adjusted,1,1,191923
2013,World, Seasonally Adjusted,1,1,189945
1994,NAFTA with Mexico (Consump),1,1,1725.6
1995,NAFTA with Mexico (Consump),1,1,3236
1996,NAFTA with Mexico (Consump),1,1,4101
1997,NAFTA with Mexico (Consump),1,1,4587
1998,NAFTA with Mexico (Consump),1,1,4904.4
1999,NAFTA with Mexico (Consump),1,1,4771.2
2000,NAFTA with Mexico (Consump),1,1,5887.2
2001,NAFTA with Mexico (Consump),1,1,6374.8
2002,NAFTA with Mexico (Consump),1,1,6164.5
2003,NAFTA with Mexico (Consump),1,1,6838.6
2004,NAFTA with Mexico (Consump),1,1,7074.8
2005,NAFTA with Mexico (Consump),1,1,7268.6
2006,NAFTA with Mexico (Consump),1,1,9678.8
2007,NAFTA with Mexico (Consump),1,1,9158.1
2008,NAFTA with Mexico (Consump),1,1,10878.6
2009,NAFTA with Mexico (Consump),1,1,7599.395994
2010,NAFTA with Mexico (Consump),1,1,9661.3
2011,NAFTA with Mexico (Consump),1,1,12292.4
2012,NAFTA with Mexico (Consump),1,1,12563.9
2013,NAFTA with Mexico (Consump),1,1,12260.6061
1994,NAFTA with Canada (Consump),1,1,3446.3
1995,NAFTA with Canada (Consump),1,1,4753.2
1996,NAFTA with Canada (Consump),1,1,6425
1997,NAFTA with Canada (Consump),1,1,7068.2
1998,NAFTA with Canada (Consump),1,1,8194.2
1999,NAFTA with Canada (Consump),1,1,8154
2000,NAFTA with Canada (Consump),1,1,9788.2
2001,NAFTA with Canada (Consump),1,1,9516.2
2002,NAFTA with Canada (Consump),1,1,8450.4
2003,NAFTA with Canada (Consump),1,1,8469.6
2004,NAFTA with Canada (Consump),1,1,9177.7
2005,NAFTA with Canada (Consump),1,1,10550.7
2006,NAFTA with Canada (Consump),1,1,13009
2007,NAFTA with Canada (Consump),1,1,12228.5
2008,NAFTA with Canada (Consump),1,1,13001.4
2009,NAFTA with Canada (Consump),1,1,7381.364276
2010,NAFTA with Canada (Consump),1,1,10885.2
2011,NAFTA with Canada (Consump),1,1,12813.7
2012,NAFTA with Canada (Consump),1,1,14379
2013,NAFTA with Canada (Consump),1,1,14713.00967
1989,Advance Technology Products,1,1,3704.2
1990,Advance Technology Products,1,1,4574.6
1991,Advance Technology Products,1,1,4487.6
1992,Advance Technology Products,1,1,4908.7
1993,Advance Technology Products,1,1,5503.2
1994,Advance Technology Products,1,1,6635.3
1995,Advance Technology Products,1,1,8443
1996,Advance Technology Products,1,1,10633
1997,Advance Technology Products,1,1,10494
1998,Advance Technology Products,1,1,11413
1999,Advance Technology Products,1,1,12147
2000,Advance Technology Products,1,1,14673
2001,Advance Technology Products,1,1,17671
2002,Advance Technology Products,1,1,14780
2003,Advance Technology Products,1,1,15409
2004,Advance Technology Products,1,1,16751
2005,Advance Technology Products,1,1,18953
2006,Advance Technology Products,1,1,21652
2007,Advance Technology Products,1,1,25367
2008,Advance Technology Products,1,1,25706
2009,Advance Technology Products,1,1,20735.15593
2010,Advance Technology Products,1,1,24377.30332
2011,Advance Technology Products,1,1,28321.22578
2012,Advance Technology Products,1,1,29356.27639
2013,Advance Technology Products,1,1,31152.66718
1985,N1CS,1,1,3221.6
1986,N1CS,1,1,3567
1987,N1CS,1,1,3960
1988,N1CS,1,1,4977.5
1989,N1CS,1,1,4978.3
1990,N1CS,1,1,5429.9
1991,N1CS,1,1,4966.7
1992,N1CS,1,1,5077.5
1993,N1CS,1,1,4975.1
1994,N1CS,1,1,5534.1
1995,N1CS,1,1,6551.9
1996,N1CS,1,1,7298
1997,N1CS,1,1,6795.3
1998,N1CS,1,1,7158.3
1999,N1CS,1,1,6937.6
2000,N1CS,1,1,8374.7
2001,N1CS,1,1,9064.2
2002,N1CS,1,1,7275.4
2003,N1CS,1,1,7820.95784
2004,N1CS,1,1,7932.936533
2005,N1CS,1,1,9074.297044
2006,N1CS,1,1,9135.491363
2007,N1CS,1,1,9544.10564
2008,N1CS,1,1,9410.434498
2009,N1CS,1,1,7550.445784
2010,N1CS,1,1,7293.354467
2011,N1CS,1,1,9400.627132
2012,N1CS,1,1,9331.381489
2013,N1CS,1,1,10275.2212
1985,South and Central America,1,1,2608.1
1986,South and Central America,1,1,2499.9
1987,South and Central America,1,1,1664
1988,South and Central America,1,1,2208.1
1989,South and Central America,1,1,2320.1
1990,South and Central America,1,1,2809.9
1991,South and Central America,1,1,2894
1992,South and Central America,1,1,2447.9
1993,South and Central America,1,1,2600.7
1994,South and Central America,1,1,2641.3
1995,South and Central America,1,1,3262.7
1996,South and Central America,1,1,3733.5
1997,South and Central America,1,1,4317.7
1998,South and Central America,1,1,4049.1
1999,South and Central America,1,1,3883
2000,South and Central America,1,1,5425.6
2001,South and Central America,1,1,6476.1
2002,South and Central America,1,1,4844.9
2003,South and Central America,1,1,5193.472035
2004,South and Central America,1,1,6830.513628
2005,South and Central America,1,1,9201.908356
2006,South and Central America,1,1,11041.65094
2007,South and Central America,1,1,10163.19463
2008,South and Central America,1,1,13158.56423
2009,South and Central America,1,1,8288.522949
2010,South and Central America,1,1,9733.335334
2011,South and Central America,1,1,13130.38873
2012,South and Central America,1,1,14266.60073
2013,South and Central America,1,1,14067.07207
1985,North America,1,1,6622.4
1986,North America,1,1,7181.8
1987,North America,1,1,6585.8
1988,North America,1,1,7715.8
1989,North America,1,1,9428.3
1990,North America,1,1,9179.3
1991,North America,1,1,9696.4
1992,North America,1,1,9663.2
1993,North America,1,1,10705.9
1994,North America,1,1,12108.8
1995,North America,1,1,16228.2
1996,North America,1,1,17818.5
1997,North America,1,1,19873.3
1998,North America,1,1,20234.1
1999,North America,1,1,21992.9
2000,North America,1,1,27161.6
2001,North America,1,1,31147.9
2002,North America,1,1,26316.9
2003,North America,1,1,28565.70698
2004,North America,1,1,30126.45035
2005,North America,1,1,33913.37277
2006,North America,1,1,41193.7668
2007,North America,1,1,40488.21578
2008,North America,1,1,44413.56963
2009,North America,1,1,30017.8681
2010,North America,1,1,37743.23764
2011,North America,1,1,44399.68025
2012,North America,1,1,48283.0014
2013,North America,1,1,49513.24818
1997,Europe,1,1,13209.27806
1998,Europe,1,1,14572.69577
1999,Europe,1,1,15110.80894
2000,Europe,1,1,17895.28012
2001,Europe,1,1,22021.41503
2002,Europe,1,1,18092.75739
2003,Europe,1,1,20950.92511
2004,Europe,1,1,21374.72387
2005,Europe,1,1,25344.95632
2006,Europe,1,1,28733.79785
2007,Europe,1,1,29619.22131
2008,Europe,1,1,32571.86487
2009,Europe,1,1,24700.74003
2010,Europe,1,1,25937.43613
2011,Europe,1,1,32046.23071
2012,Europe,1,1,35583.66894
2013,Europe,1,1,34655.73072
1997,Africa,1,1,1899.271479
1998,Africa,1,1,1574.099372
1999,Africa,1,1,1213.60983
2000,Africa,1,1,1593.489217
2001,Africa,1,1,2360.67478
2002,Africa,1,1,1579.748507
2003,Africa,1,1,2476.765496
2004,Africa,1,1,2671.838956
2005,Africa,1,1,4167.790844
2006,Africa,1,1,6025.331248
2007,Africa,1,1,6770.653073
2008,Africa,1,1,10095.71563
2009,Africa,1,1,4027.251708
2010,Africa,1,1,6631.588553
2011,Africa,1,1,8273.871645
2012,Africa,1,1,6331.776507
2013,Africa,1,1,5096.102015
1992,Pacific Rim,1,1,16380.8
1993,Pacific Rim,1,1,16744.8
1994,Pacific Rim,1,1,19186.9
1995,Pacific Rim,1,1,22094.1
1996,Pacific Rim,1,1,23163.4
1997,Pacific Rim,1,1,24326.1
1998,Pacific Rim,1,1,25768.9
1999,Pacific Rim,1,1,25623.1
2000,Pacific Rim,1,1,29768.9
2001,Pacific Rim,1,1,33463.2
2002,Pacific Rim,1,1,28562.1
2003,Pacific Rim,1,1,32757.78515
2004,Pacific Rim,1,1,35776.94632
2005,Pacific Rim,1,1,41914.03038
2006,Pacific Rim,1,1,47223.67278
2007,Pacific Rim,1,1,52540.61124
2008,Pacific Rim,1,1,53431.53439
2009,Pacific Rim,1,1,45112.48099
2010,Pacific Rim,1,1,45501.93024
2011,Pacific Rim,1,1,55890.66292
2012,Pacific Rim,1,1,60910.05874
2013,Pacific Rim,1,1,64336.37923
1987,World, Not Seasonally Adjusted,1,1,30798.5
1988,World, Not Seasonally Adjusted,1,1,33035.4
1989,World, Not Seasonally Adjusted,1,1,36179.3
1990,World, Not Seasonally Adjusted,1,1,40303.8
1991,World, Not Seasonally Adjusted,1,1,40243.7
1992,World, Not Seasonally Adjusted,1,1,39984.9
1993,World, Not Seasonally Adjusted,1,1,42057.7
1994,World, Not Seasonally Adjusted,1,1,46514.1
1995,World, Not Seasonally Adjusted,1,1,57292.9
1996,World, Not Seasonally Adjusted,1,1,61909.4
1997,World, Not Seasonally Adjusted,1,1,67271.9
1998,World, Not Seasonally Adjusted,1,1,70223.9
1999,World, Not Seasonally Adjusted,1,1,71766.3
2000,World, Not Seasonally Adjusted,1,1,87187.8
2001,World, Not Seasonally Adjusted,1,1,101869.1
2002,World, Not Seasonally Adjusted,1,1,85111.7
2003,World, Not Seasonally Adjusted,1,1,97490.98131
2004,World, Not Seasonally Adjusted,1,1,103993
2005,World, Not Seasonally Adjusted,1,1,122900
2006,World, Not Seasonally Adjusted,1,1,144562
2007,World, Not Seasonally Adjusted,1,1,150833
2008,World, Not Seasonally Adjusted,1,1,168350.2004
2009,World, Not Seasonally Adjusted,1,1,122414.5562
2010,World, Not Seasonally Adjusted,1,1,136725.3725
2011,World, Not Seasonally Adjusted,1,1,167048.1432
2012,World, Not Seasonally Adjusted,1,1,183522.0782
2013,World, Not Seasonally Adjusted,1,1,185187.1224
1985,Asia,1,1,11335.7
